cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
1.0756E+13,S,Caruthers High,Caruthers Unified,Fresno,143,72,413,422,397,10,13.89
1.07678E+13,D,,Washington Unified,Fresno,387,114,391,395,394,6,5.26
1.07678E+13,S,Elm High,Washington Unified,Fresno,76,0,NA,NA,NA,NA,NA
1.07678E+13,S,W. E. B. DuBois Public Charter,Washington Unified,Fresno,87,1,*,*,*,*,*
1.07678E+13,S,Washington High,Washington Unified,Fresno,218,113,392,396,394,6,5.31
1.1E+13,C,,,Glenn,529,107,473,475,469,37,34.58
1.11012E+13,D,,Glenn County Office of Education,Glenn,139,2,*,*,*,*,*
1.11012E+13,S,Success One!,Glenn County Office of Education,Glenn,35,0,NA,NA,NA,NA,NA
1.11012E+13,S,Conservation Corps of Long Beach Gateway Cities Ch,Glenn County Office of Education,Glenn,83,0,NA,NA,NA,NA,NA
1.11012E+13,S,William Finch,Glenn County Office of Education,Glenn,16,2,*,*,*,*,*
1.16265E+13,D,,Princeton Joint Unified,Glenn,19,7,*,*,*,*,*
1.16265E+13,S,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,19,7,*,*,*,*,*
1.16266E+13,D,,Willows Unified,Glenn,111,30,459,473,468,9,30
1.16266E+13,S,Willows High,Willows Unified,Glenn,99,30,459,473,468,9,30
1.17548E+13,D,,Orland Joint Unified,Glenn,182,38,498,480,480,13,34.21
1.17548E+13,S,Orland High,Orland Joint Unified,Glenn,173,38,498,480,480,13,34.21
1.17656E+13,D,,Hamilton Unified,Glenn,68,30,456,465,466,11,36.67
1.17656E+13,S,Hamilton High,Hamilton Unified,Glenn,61,30,456,465,466,11,36.67
1.2E+13,C,,,Humboldt,1354,469,534,519,508,276,58.85
1.21012E+13,D,,Humboldt County Office of Education,Humboldt,70,35,620,534,579,32,91.43
1.21012E+13,S,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,36,35,620,534,579,32,91.43
1.26269E+13,D,,Northern Humboldt Union High,Humboldt,419,168,546,533,515,108,64.29
1.26269E+13,S,Six Rivers Charter High,Northern Humboldt Union High,Humboldt,27,16,531,528,472,6,37.5
1.26269E+13,S,Laurel Tree Charter,Northern Humboldt Union High,Humboldt,6,3,*,*,*,*,*
1.26269E+13,S,Arcata High,Northern Humboldt Union High,Humboldt,206,97,574,555,540,75,77.32
1.26269E+13,S,McKinleyville High,Northern Humboldt Union High,Humboldt,126,52,501,500,486,27,51.92
1.26281E+13,D,,Fortuna Union High,Humboldt,254,92,514,506,492,48,52.17
1.26281E+13,S,Academy of the Redwoods,Fortuna Union High,Humboldt,39,25,577,542,524,19,76
1.26281E+13,S,Fortuna Union High,Fortuna Union High,Humboldt,170,67,491,493,480,29,43.28
1.2629E+13,D,,Klamath-Trinity Joint Unified,Humboldt,63,21,470,440,442,7,33.33
1.2629E+13,S,Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,47,21,470,440,442,7,33.33
1.26293E+13,D,,Loleta Union Elementary,Humboldt,22,0,NA,NA,NA,NA,NA
1.26293E+13,S,Pacific View Charter,Loleta Union Elementary,Humboldt,22,0,NA,NA,NA,NA,NA
1.26303E+13,D,,South Bay Union Elementary,Humboldt,36,4,*,*,*,*,*
1.26303E+13,S,Alder Grove Charter,South Bay Union Elementary,Humboldt,36,4,*,*,*,*,*
1.26304E+13,D,,Southern Humboldt Joint Unified,Humboldt,47,14,544,509,499,7,50
1.26304E+13,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,46,14,544,509,499,7,50
1.27537E+13,D,,Ferndale Unified,Humboldt,29,18,507,520,511,11,61.11
1.27537E+13,S,Ferndale High,Ferndale Unified,Humboldt,29,18,507,520,511,11,61.11
1.27538E+13,D,,Mattole Unified,Humboldt,93,6,*,*,*,*,*
1.27538E+13,S,Mattole Triple Junction High,Mattole Unified,Humboldt,2,2,*,*,*,*,*
1.27538E+13,S,Mattole Valley Charter (#159),Mattole Unified,Humboldt,91,4,*,*,*,*,*
1.27552E+13,D,,Eureka City Schools,Humboldt,321,111,517,523,502,57,51.35
1.27552E+13,S,Eureka Senior High,Eureka City Schools,Humboldt,249,111,517,523,502,57,51.35
1.3E+13,C,,,Imperial,2693,898,458,463,449,269,29.96
1.31013E+13,D,,Imperial County Office of Education,Imperial,57,0,NA,NA,NA,NA,NA
1.36308E+13,D,,Brawley Union High,Imperial,470,156,452,451,442,43,27.56
1.36308E+13,S,Brawley High,Brawley Union High,Imperial,346,156,452,451,442,43,27.56
1.3631E+13,D,,Calexico Unified,Imperial,777,216,431,432,425,47,21.76
1.3631E+13,S,Calexico High,Calexico Unified,Imperial,711,216,431,432,425,47,21.76
1.36311E+13,D,,Calipatria Unified,Imperial,73,23,464,453,446,6,26.09
1.36311E+13,S,Calipatria High,Calipatria Unified,Imperial,73,23,464,453,446,6,26.09
1.36312E+13,D,,Central Union High,Imperial,905,322,473,483,466,116,36.02
1.36312E+13,S,Southwest High,Central Union High,Imperial,472,193,476,482,468,70,36.27
1.36312E+13,S,Central Union High,Central Union High,Imperial,377,128,468,486,464,46,35.94
1.36312E+13,S,Desert Oasis High (Continuation),Central Union High,Imperial,56,1,*,*,*,*,*
1.36315E+13,D,,Holtville Unified,Imperial,142,67,441,451,434,13,19.4
1.36315E+13,S,Holtville High,Holtville Unified,Imperial,140,67,441,451,434,13,19.4
1.36316E+13,D,,Imperial Unified,Imperial,231,105,495,494,474,44,41.9
1.36316E+13,S,Imperial High,Imperial Unified,Imperial,225,105,495,494,474,44,41.9
1.36321E+13,D,,San Pasqual Valley Unified,Imperial,38,9,*,*,*,*,*
1.36321E+13,S,San Pasqual Valley High,San Pasqual Valley Unified,Imperial,29,9,*,*,*,*,*
1.4E+13,C,,,Inyo,1217,87,490,494,471,43,49.43
1.41014E+13,D,,Inyo County Office of Education,Inyo,993,4,*,*,*,*,*
1.41014E+13,S,YouthBuild Charter School of California,Inyo County Office of Education,Inyo,573,1,*,*,*,*,*
1.41014E+13,S,YouthBuild Charter School of California Central,Inyo County Office of Education,Inyo,71,0,NA,NA,NA,NA,NA
1.41014E+13,S,The Education Corps,Inyo County Office of Education,Inyo,243,3,*,*,*,*,*
