,0
164,"2, 3312, Note_on_c, 0, 60, 0
"
165,"2, 3312, Note_on_c, 0, 68, 0
"
166,"2, 3312, Note_on_c, 0, 63, 0
"
167,"2, 3312, Note_on_c, 0, 60, 107
"
168,"2, 3312, Note_on_c, 0, 63, 107
"
169,"2, 3312, Note_on_c, 0, 68, 110
"
170,"2, 3355, Note_on_c, 0, 34, 0
"
171,"2, 3360, Note_on_c, 0, 46, 0
"
172,"2, 3360, Note_on_c, 0, 60, 0
"
173,"2, 3360, Note_on_c, 0, 63, 0
"
174,"2, 3360, Note_on_c, 0, 68, 0
"
175,"2, 3360, Note_on_c, 0, 60, 107
"
176,"2, 3360, Note_on_c, 0, 34, 90
"
177,"2, 3360, Note_on_c, 0, 63, 107
"
178,"2, 3360, Note_on_c, 0, 68, 110
"
179,"2, 3453, Note_on_c, 0, 34, 0
"
180,"2, 3456, Note_on_c, 0, 60, 0
"
181,"2, 3456, Note_on_c, 0, 63, 0
"
182,"2, 3456, Note_on_c, 0, 68, 0
"
183,"2, 3456, Note_on_c, 0, 45, 90
"
184,"2, 3456, Note_on_c, 0, 60, 107
"
185,"2, 3456, Note_on_c, 0, 67, 110
"
186,"2, 3552, Note_on_c, 0, 67, 0
"
187,"2, 3552, Note_on_c, 0, 67, 110
"
188,"2, 3600, Note_on_c, 0, 67, 0
"
189,"2, 3600, Note_on_c, 0, 67, 110
"
190,"2, 3642, Note_on_c, 0, 45, 0
"
191,"2, 3648, Note_on_c, 0, 60, 0
"
192,"2, 3648, Note_on_c, 0, 67, 0
"
193,"2, 3648, Note_on_c, 0, 65, 110
"
194,"2, 3648, Note_on_c, 0, 44, 90
"
195,"2, 3648, Note_on_c, 0, 59, 107
"
196,"2, 3696, Note_on_c, 0, 65, 0
"
197,"2, 3696, Note_on_c, 0, 65, 110
"
198,"2, 3787, Note_on_c, 0, 44, 0
"
199,"2, 3792, Note_on_c, 0, 59, 0
"
200,"2, 3792, Note_on_c, 0, 65, 0
"
201,"2, 3792, Note_on_c, 0, 43, 90
"
202,"2, 3792, Note_on_c, 0, 58, 107
"
203,"2, 3792, Note_on_c, 0, 63, 110
"
204,"2, 3978, Note_on_c, 0, 43, 0
"
205,"2, 3984, Note_on_c, 0, 58, 0
"
206,"2, 3984, Note_on_c, 0, 63, 0
"
207,"2, 3984, Note_on_c, 0, 63, 110
"
208,"2, 3984, Note_on_c, 0, 57, 107
"
209,"2, 3984, Note_on_c, 0, 42, 90
"
210,"2, 4176, Note_on_c, 0, 63, 0
"
211,"2, 4176, Note_on_c, 0, 57, 0
"
212,"2, 4176, Note_on_c, 0, 60, 110
"
213,"2, 4216, Note_on_c, 0, 42, 0
"
214,"2, 4224, Note_on_c, 0, 60, 0
"
215,"2, 4224, Note_on_c, 0, 41, 90
"
216,"2, 4224, Note_on_c, 0, 56, 107
"
217,"2, 4224, Note_on_c, 0, 63, 110
"
218,"2, 4320, Note_on_c, 0, 56, 0
"
219,"2, 4320, Note_on_c, 0, 63, 0
"
220,"2, 4320, Note_on_c, 0, 63, 110
"
221,"2, 4363, Note_on_c, 0, 41, 0
"
222,"2, 4368, Note_on_c, 0, 63, 0
"
